name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
EXPLOIT_VULN,3534.6833247098198,3558.1614075588936,23.47808284907387,38,595ae6ad-663b-44e4-b132-c09d0b65168b,None,None,2,126,4,[],network,CompleteTopologyShuffle
SCAN_HOST,3560.1614075588936,3570.1614075588936,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3570.1614075588936,3585.1614075588936,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3585.1614075588936,3605.1614075588936,20.0,36,91a3eab6-b5d1-42b8-a3aa-bb11963a8b4d,None,None,2,126,4,[],None,None
EXPLOIT_VULN,3605.1614075588936,3616.1289063038294,10.96749874493571,36,91a3eab6-b5d1-42b8-a3aa-bb11963a8b4d,None,None,2,126,4,[],network,HostTopologyShuffle
SCAN_HOST,3618.1289063038294,3628.1289063038294,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3628.1289063038294,3643.1289063038294,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3643.1289063038294,3663.1289063038294,20.0,36,f550232a-7ee4-4a18-95e0-7cfb27e07a56,None,None,3,126,4,[],None,None
EXPLOIT_VULN,3663.1289063038294,3672.072071901318,8.943165597488587,36,f550232a-7ee4-4a18-95e0-7cfb27e07a56,None,None,3,126,4,[],network,IPShuffle
SCAN_HOST,3674.072071901318,3684.072071901318,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3684.072071901318,3699.072071901318,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3699.072071901318,3719.072071901318,20.0,65,bc4400c0-ef14-4f62-93c8-1725e702142e,None,None,1,126,4,[],None,None
EXPLOIT_VULN,3719.072071901318,3743.611097698094,24.53902579677606,65,bc4400c0-ef14-4f62-93c8-1725e702142e,None,None,1,126,4,[],network,CompleteTopologyShuffle
SCAN_HOST,3745.611097698094,3755.611097698094,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3755.611097698094,3770.611097698094,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3770.611097698094,3790.611097698094,20.0,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,None,None,2,126,4,[],None,None
EXPLOIT_VULN,3790.611097698094,3817.2475211516016,26.636423453507632,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,None,None,2,126,4,[],application,PortShuffle
SCAN_PORT,3819.2475211516016,3839.2475211516016,20.0,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,None,None,2,126,4,[],None,None
EXPLOIT_VULN,3839.2475211516016,3864.737490945847,25.489969794245553,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,2,126,4,"['Pia', 'Bell', 'Bobbee', 'Petunia']",None,None
SCAN_NEIGHBOR,3864.737490945847,3874.737490945847,10.0,57,163e0a9a-237f-4dbe-b9c4-0fd2275eebe0,None,None,2,134,5,[],None,None
